City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Khandbari,NP,2021-09-12 14:15:55,27.3747,87.2039,72.82,89,92,1.14
213,Youkounkoun,GN,2021-09-12 14:15:56,12.5333,-13.1333,85.41,70,83,3.89
214,Lebu,CL,2021-09-12 14:15:56,-37.6167,-73.65,50.23,81,100,18.32
215,Ouallam,NE,2021-09-12 14:15:56,14.3188,2.0866,98.74,28,79,5.14
216,Vostok,RU,2021-09-12 14:15:57,46.4856,135.8833,46.31,99,100,3.58
217,Vila,PT,2021-09-12 14:15:57,42.0304,-8.1588,73.71,57,94,7.23
218,Laguna,US,2021-09-12 14:11:46,38.421,-121.4238,73.22,74,1,1.01
219,Brookings,US,2021-09-12 14:12:37,44.3114,-96.7984,57.61,62,20,9.22
220,Kenora,CA,2021-09-12 14:15:29,49.8167,-94.4337,52.77,71,75,8.05
221,Konstantinovka,RU,2021-09-12 14:15:58,49.6167,127.9833,52.23,87,83,2.8
222,Ossora,RU,2021-09-12 14:15:58,59.2353,163.0719,37.6,74,14,7.02
223,Pak Phanang,TH,2021-09-12 14:15:58,8.3511,100.202,82.49,73,100,4.45
224,Sanguem,IN,2021-09-12 14:15:59,15.2333,74.1667,76.1,96,77,7.0
225,San Juan,AR,2021-09-12 14:15:59,-31.5375,-68.5364,75.02,5,0,11.41
226,Grindavik,IS,2021-09-12 14:15:59,63.8424,-22.4338,53.55,100,90,29.93
227,Pangoa,PE,2021-09-12 14:16:00,-12.1167,-73.0,82.35,53,60,1.52
228,Qostanay,KZ,2021-09-12 14:16:00,53.1667,63.5833,52.09,46,0,11.18
229,Zhigansk,RU,2021-09-12 14:16:00,66.7697,123.3711,46.62,64,100,7.76
230,San Patricio,US,2021-09-12 14:16:01,28.017,-97.5169,82.85,73,100,8.16
231,Klaksvik,FO,2021-09-12 14:16:01,62.2266,-6.589,56.32,89,92,9.48
232,Ribeira Grande,PT,2021-09-12 14:16:02,38.5167,-28.7,72.0,64,75,9.22
233,Muzaffarabad,PK,2021-09-12 14:16:02,34.37,73.4711,73.35,84,9,2.24
234,Hay River,CA,2021-09-12 14:15:28,60.8156,-115.7999,48.18,87,75,3.44
235,Obihiro,JP,2021-09-12 14:16:02,42.9172,143.2044,57.36,90,0,5.21
236,Aklavik,CA,2021-09-12 14:16:03,68.2191,-135.0107,45.43,87,75,8.05
237,Fortuna,US,2021-09-12 14:16:03,40.5982,-124.1573,55.92,74,90,0.0
238,Junin,AR,2021-09-12 14:16:03,-34.5838,-60.9433,68.76,59,0,15.26
239,Ust-Karsk,RU,2021-09-12 14:16:04,52.7011,118.8077,48.99,94,100,2.48
240,Bokovskaya,RU,2021-09-12 14:16:04,49.229,41.8306,72.14,45,100,9.24
241,Payo,ID,2021-09-12 14:16:04,-3.7508,103.6372,75.13,91,100,3.36
242,Umm Kaddadah,SD,2021-09-12 14:16:05,13.6017,26.6876,93.49,35,99,4.36
243,De Aar,ZA,2021-09-12 14:16:05,-30.6497,24.0123,83.75,11,13,19.44
244,Burlington,US,2021-09-12 14:15:25,39.8835,-74.6413,74.97,74,1,4.0
245,Seoul,KR,2021-09-12 14:14:28,37.5683,126.9778,71.04,60,39,3.4
246,Juneau,US,2021-09-12 14:15:29,58.3019,-134.4197,53.83,99,90,6.91
247,Lorengau,PG,2021-09-12 14:16:06,-2.0226,147.2712,82.31,77,79,7.58
248,Rio Grande,BR,2021-09-12 14:16:06,-32.035,-52.0986,68.11,83,78,14.38
249,Lata,PT,2021-09-12 14:16:06,40.1629,-8.3327,90.05,25,100,9.42
250,Constitucion,CL,2021-09-12 14:11:28,-35.3333,-72.4167,53.11,84,99,21.88
251,Guerrero Negro,MX,2021-09-12 14:13:38,27.9769,-114.0611,72.68,82,3,2.37
252,Bonthe,SL,2021-09-12 14:16:07,7.5264,-12.505,76.75,89,100,7.76
253,Joetsu,JP,2021-09-12 14:16:07,37.1483,138.2364,70.41,84,100,9.46
254,College,US,2021-09-12 14:16:07,64.8569,-147.8028,44.22,79,20,0.0
255,Cabo San Lucas,MX,2021-09-12 14:16:07,22.8909,-109.9124,79.52,88,5,8.25
256,Jiujiang,CN,2021-09-12 14:16:08,29.7333,115.9833,78.19,76,0,16.51
257,Yerbogachen,RU,2021-09-12 14:16:08,61.2767,108.0108,42.64,86,69,4.54
258,Bethel,US,2021-09-12 14:16:08,41.3712,-73.414,73.49,79,1,3.0
259,Okha,RU,2021-09-12 14:16:08,53.5739,142.9478,51.22,66,80,14.61
260,Te Anau,NZ,2021-09-12 14:16:09,-45.4167,167.7167,43.68,93,100,4.5
261,Xapuri,BR,2021-09-12 14:16:09,-10.6517,-68.5044,84.85,38,77,3.15
262,Gondar,ET,2021-09-12 14:16:09,12.6,37.4667,63.28,84,88,7.61
263,Chara,RU,2021-09-12 14:16:10,56.9064,118.2631,53.11,74,100,4.27
264,Port Lincoln,AU,2021-09-12 14:16:10,-34.7333,135.8667,51.62,58,7,15.99
265,Alekseyevka,RU,2021-09-12 14:16:10,50.6309,38.6903,72.21,44,99,4.88
266,Udachnyy,RU,2021-09-12 14:16:11,66.4167,112.4,50.2,78,99,7.14
267,Souillac,MU,2021-09-12 14:16:11,-20.5167,57.5167,71.37,83,75,18.41
268,Catuday,PH,2021-09-12 14:16:11,16.2923,119.8062,77.45,89,100,17.0
269,Padang,ID,2021-09-12 14:16:12,-0.9492,100.3543,77.05,85,94,2.42
270,Praya,CV,2021-09-12 14:16:12,14.9215,-23.5087,86.54,66,40,11.5
271,Olga,RU,2021-09-12 14:16:12,43.7444,135.2892,58.32,64,30,15.05
272,Nouadhibou,MR,2021-09-12 14:16:13,20.931,-17.0347,84.18,65,99,13.8
273,Alugan,PH,2021-09-12 14:16:13,12.2188,125.4808,80.58,83,100,7.07
274,Amapa,BR,2021-09-12 14:16:13,1.0,-52.0,89.94,44,0,4.41
275,Krasnoye,UA,2021-09-12 14:16:14,49.9145,24.6134,78.15,39,9,3.38
276,Kahului,US,2021-09-12 14:16:14,20.8947,-156.47,75.22,83,90,14.97
277,Sulphur,US,2021-09-12 14:14:54,30.2366,-93.3774,77.02,85,1,5.75
278,Copperas Cove,US,2021-09-12 14:16:14,31.1241,-97.9031,77.36,74,1,0.0
279,Bangkalan,ID,2021-09-12 14:16:14,-7.0455,112.7351,80.55,81,89,7.02
280,Pasuquin,PH,2021-09-12 14:16:15,18.3328,120.6177,80.85,80,100,14.54
281,Fort Saint James,CA,2021-09-12 14:16:15,54.4333,-124.25,39.45,95,3,3.36
282,Deputatskiy,RU,2021-09-12 14:12:16,69.3,139.9,40.82,56,14,5.57
283,San Cristobal,VE,2021-09-12 14:16:15,7.7669,-72.225,75.38,50,44,7.23
284,Taoudenni,ML,2021-09-12 14:16:16,22.6783,-3.9836,112.28,6,10,2.19
285,Roald,NO,2021-09-12 14:16:16,62.5833,6.1333,56.91,62,75,6.91
286,Vila Velha,BR,2021-09-12 14:16:16,-20.3297,-40.2925,82.35,69,20,11.5
287,Fukue,JP,2021-09-12 14:16:17,32.6881,128.8419,75.6,88,100,11.52
288,Santa Isabel Do Rio Negro,BR,2021-09-12 14:16:17,-0.4139,-65.0192,89.17,55,7,2.59
289,Nyaunglebin,MM,2021-09-12 14:16:17,17.95,96.7333,74.61,94,100,2.1
290,Cockburn Town,TC,2021-09-12 14:16:18,21.4612,-71.1419,83.17,74,95,19.95
291,Saint Anthony,US,2021-09-12 14:16:18,45.0205,-93.218,60.26,72,1,1.01
292,Sambava,MG,2021-09-12 14:16:18,-14.2667,50.1667,72.55,84,100,16.87
293,Kawasaki,JP,2021-09-12 14:16:19,35.5206,139.7172,77.11,84,75,8.05
294,Huilong,CN,2021-09-12 14:11:44,31.8111,121.655,80.04,91,100,20.49
